"ICM_CITY_CD","ICM_CITY_DESC","ISM_STATE_CD","ISM_STATE_DESC"
"ALIRAJPUR","ALIRAJPUR","MADHYA PRADESH","MADHYA PRADESH"
"PALAYAMKOTTAI","PALAYAMKOTTAI","TAMILNADU","TAMILNADU"
"BADWANI","BADWANI","MADHYA PRADESH","MADHYA PRADESH"
"HASANPUR","HASANPUR","UTTAR PRADESH","UTTAR PRADESH"
"KARUVATTA","KARUVATTA","KERALA","KERALA"
"CHAGALLU","CHAGALLU","ANDHRA PRADESH","ANDHRA PRADESH"
"GHARAUNDA","GHARAUNDA","HARYANA","HARYANA"
"FATORDA","FATORDA","GOA","GOA"
"JAWALI","JAWALI","HIMACHAL PRADESH","HIMACHAL PRADESH"
"WEST KAMENG","WEST KAMENG","ARUNACHAL PRADESH","ARUNACHAL PRADESH"
"SURAJPUR","SURAJPUR","CHANDIGARH","CHANDIGARH"
"DANAPUR","DANAPUR","BIHAR","BIHAR"
"SAFIDON","SAFIDON","HARYANA","HARYANA"
"TELLICHERRY","TELLICHERRY","KERALA","KERALA"
"THODUPUZHA","THODUPUZHA","KERALA","KERALA"
"TUTICORIN","TUTICORIN","TAMILNADU","TAMILNADU"
"UNNAO","UNNAO","UTTAR PRADESH","UTTAR PRADESH"
"VIJAYAWADA","VIJAYAWADA","ANDHRA PRADESH","ANDHRA PRADESH"
"VASCO DA GAMA","VASCO DA GAMA","GOA","GOA"
"KUMARGHAT","KUMARGHAT","TRIPURA","TRIPURA"
"ALATHUR","ALATHUR","KERALA","KERALA"
"ATTILI","ATTILI","ANDHRA PRADESH","ANDHRA PRADESH"
"RANIKHET","RANIKHET","UTTARAKHAND","UTTARAKHAND"
"SIURI","SIURI","WEST BENGAL","WEST BENGAL"
"BHAWANI PATANA","BHAWANI PATANA","ODISHA","ODISHA"
"ARMOOR","ARMOOR","TELANGANA","TELANGANA"
"BAPATLA","BAPATLA","ANDHRA PRADESH","ANDHRA PRADESH"
"BHIMAVARAM","BHIMAVARAM","ANDHRA PRADESH","ANDHRA PRADESH"
"BURJA","BURJA","ANDHRA PRADESH","ANDHRA PRADESH"
"CHELLURU","CHELLURU","ANDHRA PRADESH","ANDHRA PRADESH"
"CHODAVARAM","CHODAVARAM","ANDHRA PRADESH","ANDHRA PRADESH"
"CUDDAPAH","CUDDAPAH","ANDHRA PRADESH","ANDHRA PRADESH"
"HINDUPUR","HINDUPUR","ANDHRA PRADESH","ANDHRA PRADESH"
"KALLUR","KALLUR","TELANGANA","TELANGANA"
"KANNAPURAM","KANNAPURAM","ANDHRA PRADESH","ANDHRA PRADESH"
"KARAPA","KARAPA","ANDHRA PRADESH","ANDHRA PRADESH"
"KYATHUR","KYATHUR","ANDHRA PRADESH","ANDHRA PRADESH"
"MADANAPALLI","MADANAPALLI","ANDHRA PRADESH","ANDHRA PRADESH"
"MUPPAVARAM","MUPPAVARAM","ANDHRA PRADESH","ANDHRA PRADESH"
"PENUMANTRA","PENUMANTRA","ANDHRA PRADESH","ANDHRA PRADESH"
"PRODDATUR","PRODDATUR","ANDHRA PRADESH","ANDHRA PRADESH"
"PUTTUR","PUTTUR","KARNATAKA","KARNATAKA"
"SIDHI","SIDHI","MADHYA PRADESH","MADHYA PRADESH"
"PAONTA SAHIB","PAONTA SAHIB","HIMACHAL PRADESH","HIMACHAL PRADESH"
"HAJIPUR","HAJIPUR","BIHAR","BIHAR"
"KARAMCHEDU","KARAMCHEDU","ANDHRA PRADESH","ANDHRA PRADESH"
"BIHAR SHARIF","BIHAR SHARIF","BIHAR","BIHAR"
"PARAMAKUDI","PARAMAKUDI","TAMILNADU","TAMILNADU"
"CHAKADHARPUR","CHAKADHARPUR","JHARKHAND","JHARKHAND"
"POGALUR","POGALUR","TAMILNADU","TAMILNADU"
"HARPALPUR","HARPALPUR","MADHYA PRADESH","MADHYA PRADESH"
"SAHARSA","SAHARSA","BIHAR","BIHAR"
"PAMARRU","PAMARRU","ANDHRA PRADESH","ANDHRA PRADESH"
"KHALGAON","KHALGAON","MAHARASHTRA","MAHARASHTRA"
"MANSA","MANSA","PUNJAB","PUNJAB"
"SULTANPUR","SULTANPUR","UTTAR PRADESH","UTTAR PRADESH"
"KARAULI","KARAULI","RAJASTHAN","RAJASTHAN"
"BALLABGARH","BALLABGARH","HARYANA","HARYANA"
"BAGHPAT","BAGHPAT","UTTAR PRADESH","UTTAR PRADESH"
"KARAMSAD","KARAMSAD","GUJARAT","GUJARAT"
"JAJPUR","JAJPUR","ODISHA","ODISHA"
"BIRSINGHPUR","BIRSINGHPUR","MADHYA PRADESH","MADHYA PRADESH"
"GARHWAL","GARHWAL","UTTARAKHAND","UTTARAKHAND"
"PITHAMPUR","PITHAMPUR","MADHYA PRADESH","MADHYA PRADESH"
"DARJEELING","DARJEELING","WEST BENGAL","WEST BENGAL"
"ASKA","ASKA","ODISHA","ODISHA"
"SRIVILLIPUTTUR","SRIVILLIPUTTUR","TAMILNADU","TAMILNADU"
"SIDDIPET","SIDDIPET","TELANGANA","TELANGANA"
"LOHIT","LOHIT","ARUNACHAL PRADESH","ARUNACHAL PRADESH"
"RANNI","RANNI","KERALA","KERALA"
"KORATLA","KORATLA","TELANGANA","TELANGANA"
"TRISSOR","TRISSOR","KERALA","KERALA"
"MUTHUKUR","MUTHUKUR","ANDHRA PRADESH","ANDHRA PRADESH"
"KAPASHERA","KAPASHERA","DELHI","DELHI"
"BEAWAR","BEAWAR","RAJASTHAN","RAJASTHAN"
"DINDORI","DINDORI","MADHYA PRADESH","MADHYA PRADESH"
"PURULIYA","PURULIYA","WEST BENGAL","WEST BENGAL"
"24 PARGANAS-NORTH","24 PARGANAS NORTH","WEST BENGAL","WEST BENGAL"
"NAVELIM_GOA","NAVELIM","GOA","GOA"
"HOSHANGABAD","HOSHANGABAD","MADHYA PRADESH","MADHYA PRADESH"
"FATEHPUR","FATEHPUR","UTTAR PRADESH","UTTAR PRADESH"
"BHADRAK","BHADRAK","ODISHA","ODISHA"
"AHMEDGARH","AHMEDGARH","PUNJAB","PUNJAB"
"MUGALKHOD","MUGALKHOD","KARNATAKA","KARNATAKA"
"BARABANKI","BARABANKI","UTTAR PRADESH","UTTAR PRADESH"
"GUNUPUR","GUNUPUR","ODISHA","ODISHA"
"KOTLLAPET","KOTLLAPET","ANDHRA PRADESH","ANDHRA PRADESH"
"BALANAGAR","BALANAGAR","ANDHRA PRADESH","ANDHRA PRADESH"
"DHUBRI","DHUBRI","ASSAM","ASSAM"
"VIKASPURI","VIKASPURI","DELHI","DELHI"
"TIPTUR","TIPTUR","KARNATAKA","KARNATAKA"
"BOKAKHAT","BOKAKHAT","ASSAM","ASSAM"
"MADRAS","MADRAS","TAMILNADU","TAMILNADU"
"CHARHI","CHARHI","JHARKHAND","JHARKHAND"
"ASURESWAR","ASURESWAR","ODISHA","ODISHA"
"DIU","DIU","DADRA HAVELI AND DAMANDIU","DADRA HAVELI AND DAMANDIU"
"NAIDUPET","NAIDUPET","ANDHRA PRADESH","ANDHRA PRADESH"
"CHITTALANDUR","CHITTALANDUR","TAMILNADU","TAMILNADU"
"BENIADIH","BENIADIH","JHARKHAND","JHARKHAND"
"BISHALGARH","BISHALGARH","TRIPURA","TRIPURA"
"DHALIGAON","DHALIGAON","ASSAM","ASSAM"
"KANKER_CHH","KANKER","CHHATTISGARH","CHHATTISGARH"
"UKHRUL","UKHRUL","MANIPUR","MANIPUR"
"PANTNAGAR_UTT","PANTNAGAR","UTTARAKHAND","UTTARAKHAND"
"SHRAVASTI","SHRAVASTI","UTTAR PRADESH","UTTAR PRADESH"
"AARA","AARA","BIHAR","BIHAR"
"HARDA","HARDA","MADHYA PRADESH","MADHYA PRADESH"
"TIKAMGARH","TIKAMGARH","MADHYA PRADESH","MADHYA PRADESH"
"RAWATBHATA","RAWATBHATA","RAJASTHAN","RAJASTHAN"
"SHIKOHABAD","SHIKOHABAD","UTTAR PRADESH","UTTAR PRADESH"
"COOCH BEHAR","COOCH BEHAR","WEST BENGAL","WEST BENGAL"
"ANIGOL","ANIGOL","KARNATAKA","KARNATAKA"
"SHORAPUR","SHORAPUR","KARNATAKA","KARNATAKA"
"BALELE","BALELE","KARNATAKA","KARNATAKA"
"AMETHI","AMETHI","UTTAR PRADESH","UTTAR PRADESH"
"KANPUR DEHAT","KANPUR DEHAT","UTTAR PRADESH","UTTAR PRADESH"
"MAKHDUMPUR","MAKHDUMPUR","BIHAR","BIHAR"
"BHILAI_CHH","BHILAI","CHHATTISGARH","CHHATTISGARH"
"DAMODARPUR","DAMODARPUR","BIHAR","BIHAR"
"AKIVIDU","AKIVIDU","ANDHRA PRADESH","ANDHRA PRADESH"
"KAPASAN","KAPASAN","RAJASTHAN","RAJASTHAN"
"PANCHSHEEL NAGAR","PANCHSHEEL NAGAR","UTTAR PRADESH","UTTAR PRADESH"
"MOHAMMABAD","MOHAMMABAD","UTTAR PRADESH","UTTAR PRADESH"
"ADITYAPUR","ADITYAPUR","JHARKHAND","JHARKHAND"
"BAHADURGARH","BAHADURGARH","HARYANA","HARYANA"
"BELGAUM","BELGAUM","KARNATAKA","KARNATAKA"
"BANGALORE","BANGALORE","KARNATAKA","KARNATAKA"
"SHOPIAN","SHOPIAN","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"MADUGULA","MADUGULA","ANDHRA PRADESH","ANDHRA PRADESH"
"MAHENDRAGADA","MAHENDRAGADA","ODISHA","ODISHA"
"MALLARPUR","MALLARPUR","WEST BENGAL","WEST BENGAL"
"MANJURI ROAD","MANJURI ROAD","ODISHA","ODISHA"
"MANTHUKA","MANTHUKA","KERALA","KERALA"
"MARIAHU","MARIAHU","UTTAR PRADESH","UTTAR PRADESH"
"MAUHAR","MAUHAR","UTTAR PRADESH","UTTAR PRADESH"
"MEHDAULI","MEHDAULI","BIHAR","BIHAR"
"MIJAR","MIJAR","KARNATAKA","KARNATAKA"
"MORAB","MORAB","KARNATAKA","KARNATAKA"
"MUKUPERI","MUKUPERI","TAMILNADU","TAMILNADU"
"MUTTOM","MUTTOM","KERALA","KERALA"
"NAGROTA BAGWAN","NAGROTA BAGWAN","HIMACHAL PRADESH","HIMACHAL PRADESH"
"NANDAN","NANDAN","MADHYA PRADESH","MADHYA PRADESH"
"NARAIPUR","NARAIPUR","BIHAR","BIHAR"
"ICHALAKARANJI","ICHALAKARANJI","MAHARASHTRA","MAHARASHTRA"
"JAMNAGAR","JAMNAGAR","GUJARAT","GUJARAT"
"JHANSI","JHANSI","UTTAR PRADESH","UTTAR PRADESH"
"KALAMASSERY","KALAMASSERY","KERALA","KERALA"
"KEVADIA","KEVADIA","GUJARAT","GUJARAT"
"KOZHIKODE","KOZHIKODE","KERALA","KERALA"
"NAVAGADH","NAVAGADH","GUJARAT","GUJARAT"
"NEEMRAN","NEEMRAN","RAJASTHAN","RAJASTHAN"
"NONSUCH","NONSUCH","TAMILNADU","TAMILNADU"
"OLD MALDA","OLD MALDA","WEST BENGAL","WEST BENGAL"
"PACHAMBA","PACHAMBA","JHARKHAND","JHARKHAND"
"PADEL","PADEL","MAHARASHTRA","MAHARASHTRA"
"PALASAR","PALASAR","GUJARAT","GUJARAT"
"PALLIA","PALLIA","UTTAR PRADESH","UTTAR PRADESH"
"PANIKOILI","PANIKOILI","ODISHA","ODISHA"
"PAPROLA","PAPROLA","HIMACHAL PRADESH","HIMACHAL PRADESH"
"PARBATPUR","PARBATPUR","ASSAM","ASSAM"
"JEHANABAD","JEHANABAD","BIHAR","BIHAR"
"ARWAL","ARWAL","BIHAR","BIHAR"
"BINA","BINA","MADHYA PRADESH","MADHYA PRADESH"
"DHRANGADHRA","DHRANGADHRA","GUJARAT","GUJARAT"
"MADINAGUDA","MADINAGUDA","ANDHRA PRADESH","ANDHRA PRADESH"
"BAMBOLIM","BAMBOLIM","GOA","GOA"
"BALAGHAT","BALAGHAT","MADHYA PRADESH","MADHYA PRADESH"
"MANDAGERE","MANDAGERE","KARNATAKA","KARNATAKA"
"POONCH","POONCH","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"KARHI","KARHI","MADHYA PRADESH","MADHYA PRADESH"
"MANKUVA","MANKUVA","GUJARAT","GUJARAT"
"HODAL","HODAL","HARYANA","HARYANA"
"DIPHU","DIPHU","ASSAM","ASSAM"
"CHHIBRAMAU","CHHIBRAMAU","UTTAR PRADESH","UTTAR PRADESH"
"BIDADI","BIDADI","KARNATAKA","KARNATAKA"
"RUDRAMPUR","RUDRAMPUR","ANDHRA PRADESH","ANDHRA PRADESH"
"SHADNAGAR","SHADNAGAR","TELANGANA","TELANGANA"
"SWARNA","SWARNA","ANDHRA PRADESH","ANDHRA PRADESH"
"WARANGAL","WARANGAL","TELANGANA","TELANGANA"
"BARPETA ROAD_ASS","BARPETA ROAD","ASSAM","ASSAM"
"BARUN","BARUN","BIHAR","BIHAR"
"GARHARA","GARHARA","BIHAR","BIHAR"
"JOGBANI","JOGBANI","BIHAR","BIHAR"
"MUNGER","MUNGER","BIHAR","BIHAR"
"NARKATIAGANJ","NARKATIAGANJ","BIHAR","BIHAR"
"PURNIA","PURNIA","BIHAR","BIHAR"
"ROHTAS","ROHTAS","BIHAR","BIHAR"
"TEHTA","TEHTA","BIHAR","BIHAR"
"RAJNANDGAON","RAJNANDGAON","CHHATTISGARH","CHHATTISGARH"
"AMBAJI","AMBAJI","GUJARAT","GUJARAT"
"BHADRAN","BHADRAN","GUJARAT","GUJARAT"
"JETPUR","JETPUR","GUJARAT","GUJARAT"
"JUNAGADH","JUNAGADH","GUJARAT","GUJARAT"
"LIMBASI","LIMBASI","GUJARAT","GUJARAT"
"RAJPARDI","RAJPARDI","GUJARAT","GUJARAT"
"RAJULA","RAJULA","GUJARAT","GUJARAT"
"SUNDARNA","SUNDARNA","GUJARAT","GUJARAT"
"THARA","THARA","GUJARAT","GUJARAT"
"UNAI","UNAI","GUJARAT","GUJARAT"
"CHEEKA","CHEEKA","HARYANA","HARYANA"
"SHAHABAD","SHAHABAD","HARYANA","HARYANA"
"TAORU","TAORU","HARYANA","HARYANA"
"DADAHU","DADAHU","HIMACHAL PRADESH","HIMACHAL PRADESH"
"JASSUR","JASSUR","HIMACHAL PRADESH","HIMACHAL PRADESH"
"PARWANOO","PARWANOO","HIMACHAL PRADESH","HIMACHAL PRADESH"
"SIRMOUR","SIRMOUR","HIMACHAL PRADESH","HIMACHAL PRADESH"
"CHADOORA","CHADOORA","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"LASJAN","LASJAN","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"SILCHAR","SILCHAR","ASSAM","ASSAM"
"SITAMARHI","SITAMARHI","BIHAR","BIHAR"
"SAMASTIPUR","SAMASTIPUR","BIHAR","BIHAR"
"SANGLI","SANGLI","MAHARASHTRA","MAHARASHTRA"
"SRINAGAR","SRINAGAR","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"SOLAPUR","SOLAPUR","MAHARASHTRA","MAHARASHTRA"
"SAHARANPUR","SAHARANPUR","UTTAR PRADESH","UTTAR PRADESH"
"SIWAN","SIWAN","BIHAR","BIHAR"
"TRICHUR","TRICHUR","KERALA","KERALA"
"TEHRI","TEHRI","UTTAR PRADESH","UTTAR PRADESH"
"TALAGUPPA","TALAGUPPA","KARNATAKA","KARNATAKA"
"TIRUPATHI","TIRUPATHI","ANDHRA PRADESH","ANDHRA PRADESH"
"THANJAVUR","THANJAVUR","TAMILNADU","TAMILNADU"
"THRIKKAKARA","THRIKKAKARA","KERALA","KERALA"
"TIRUVALLA","TIRUVALLA","KERALA","KERALA"
"TIRUNELVELI","TIRUNELVELI","TAMILNADU","TAMILNADU"
"TRIPUNITHURA","TRIPUNITHURA","KERALA","KERALA"
"TALIPARAMBA","TALIPARAMBA","KERALA","KERALA"
"GAMHARIA","GAMHARIA","JHARKHAND","JHARKHAND"
"TEZPUR","TEZPUR","ASSAM","ASSAM"
"THAAYOLAPARAMBU","THAAYOLAPARAMBU","KERALA","KERALA"
"TIRUPUR","TIRUPUR","TAMILNADU","TAMILNADU"
"TRIVANDRUM","TRIVANDRUM","KERALA","KERALA"
"TINSUKIA","TINSUKIA","ASSAM","ASSAM"
"TUMKUR","TUMKUR","KARNATAKA","KARNATAKA"
"TIRUVANANTHAPURAM","TIRUVANANTHAPURAM","KERALA","KERALA"
"UDAIPUR","UDAIPUR","RAJASTHAN","RAJASTHAN"
"UJJAIN","UJJAIN","MADHYA PRADESH","MADHYA PRADESH"
"VALSAD","VALSAD","GUJARAT","GUJARAT"
"VAPI","VAPI","GUJARAT","GUJARAT"
"VADODARA","VADODARA","GUJARAT","GUJARAT"
"VISHAKAPATNAM","VISHAKAPATNAM","ANDHRA PRADESH","ANDHRA PRADESH"
"VAIKOM","VAIKOM","KERALA","KERALA"
"VELLORE","VELLORE","TAMILNADU","TAMILNADU"
"VIRUDHUNAGAR","VIRUDHUNAGAR","TAMILNADU","TAMILNADU"
"VARANASI","VARANASI","UTTAR PRADESH","UTTAR PRADESH"
"VRINDAVAN","VRINDAVAN","UTTAR PRADESH","UTTAR PRADESH"
"WARDHA","WARDHA","MAHARASHTRA","MAHARASHTRA"
"KHAGARIA","KHAGARIA","BIHAR","BIHAR"
"SOLAN","SOLAN","HIMACHAL PRADESH","HIMACHAL PRADESH"
"NAHAN","NAHAN","HIMACHAL PRADESH","HIMACHAL PRADESH"
"JAMUI","JAMUI","BIHAR","BIHAR"
"SANKARI","SANKARI","TAMILNADU","TAMILNADU"
"BIRBHUM","BIRBHUM","WEST BENGAL","WEST BENGAL"
"PARBHANI","PARBHANI","MAHARASHTRA","MAHARASHTRA"
"SHAJAPUR","SHAJAPUR","MADHYA PRADESH","MADHYA PRADESH"
"KARIMNAGAR","KARIMNAGAR","TELANGANA","TELANGANA"
"PACHMARHI","PACHMARHI","MADHYA PRADESH","MADHYA PRADESH"
"MANDIDEEP","MANDIDEEP","MADHYA PRADESH","MADHYA PRADESH"
"SHEOHAR","SHEOHAR","BIHAR","BIHAR"
"NALIYA","NALIYA","GUJARAT","GUJARAT"
"NANDIGAMA","NANDIGAMA","ANDHRA PRADESH","ANDHRA PRADESH"
"KHOR","KHOR","MADHYA PRADESH","MADHYA PRADESH"
"APPANERI","APPANERI","TAMILNADU","TAMILNADU"
"BHAWANIPATNA","BHAWANIPATNA","ODISHA","ODISHA"
"BANPUR","BANPUR","ODISHA","ODISHA"
"CHIKBALLAPUR","CHIKBALLAPUR","KARNATAKA","KARNATAKA"
"DALHOUSIE","DALHOUSIE","HIMACHAL PRADESH","HIMACHAL PRADESH"
"KULLU","KULLU","HIMACHAL PRADESH","HIMACHAL PRADESH"
"NORTH GOA","NORTH GOA","GOA","GOA"
"KANSHI RAM NAGAR","KANSHI RAM NAGAR","UTTAR PRADESH","UTTAR PRADESH"
"ELLENABAD","ELLENABAD","HARYANA","HARYANA"
"SUJANPUR_PUN","SUJANPUR","PUNJAB","PUNJAB"
"RAYAGADA","RAYAGADA","ODISHA","ODISHA"
"GONDA","GONDA","UTTAR PRADESH","UTTAR PRADESH"
"PANCH MAHAL","PANCH MAHAL","GUJARAT","GUJARAT"
"ULSOOR","ULSOOR","KARNATAKA","KARNATAKA"
"RAJOURI","RAJOURI","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"KHAJURAHO","KHAJURAHO","MADHYA PRADESH","MADHYA PRADESH"
"JAMTARA","JAMTARA","JHARKHAND","JHARKHAND"
"JATNI","JATNI","ODISHA","ODISHA"
"EAST NIMAR","EAST NIMAR","MADHYA PRADESH","MADHYA PRADESH"
"SINNAR","SINNAR","MAHARASHTRA","MAHARASHTRA"
"NOWGONG_ASS","NOWGONG","ASSAM","ASSAM"
"CHANDIGARH_HAR","CHANDIGARH","HARYANA","HARYANA"
"SAKHIGOPAL","SAKHIGOPAL","ODISHA","ODISHA"
"NABARANGPUR","NABARANGPUR","ODISHA","ODISHA"
"AONLA","AONLA","UTTAR PRADESH","UTTAR PRADESH"
"SUNDERGARH","SUNDERGARH","ODISHA","ODISHA"
"PATHIRAPALLY","PATHIRAPALLY","KERALA","KERALA"
"PEETH","PEETH","RAJASTHAN","RAJASTHAN"
"PONAMPET","PONAMPET","KARNATAKA","KARNATAKA"
"PRITIPUR","PRITIPUR","ODISHA","ODISHA"
"PUNALI","PUNALI","RAJASTHAN","RAJASTHAN"
"RAHUI","RAHUI","BIHAR","BIHAR"
"RAMGARHWA","RAMGARHWA","BIHAR","BIHAR"
"RAMPUR BAGHELAN","RAMPUR BAGHELAN","MADHYA PRADESH","MADHYA PRADESH"
"DINDIGUL","DINDIGUL","TAMILNADU","TAMILNADU"
"DHORAJI","DHORAJI","GUJARAT","GUJARAT"
"ERNAKULAM","ERNAKULAM","KERALA","KERALA"
"GULBARGA","GULBARGA","KARNATAKA","KARNATAKA"
"PINJORE","PINJORE","HARYANA","HARYANA"
"RAS","RAS","GUJARAT","GUJARAT"
"RAXAUL","RAXAUL","BIHAR","BIHAR"
"RELANGI","RELANGI","ANDHRA PRADESH","ANDHRA PRADESH"
"SADALPURA","SADALPURA","UTTAR PRADESH","UTTAR PRADESH"
"SALUA","SALUA","WEST BENGAL","WEST BENGAL"
"SAMEERWADI","SAMEERWADI","KARNATAKA","KARNATAKA"
"SANTOKHGARH","SANTOKHGARH","HIMACHAL PRADESH","HIMACHAL PRADESH"
"SARDAHA","SARDAHA","UTTAR PRADESH","UTTAR PRADESH"
"SAWARDA","SAWARDA","MAHARASHTRA","MAHARASHTRA"
"SENDAMANGALAM","SENDAMANGALAM","TAMILNADU","TAMILNADU"
"SINDKHED RAJA","SINDKHED RAJA","MAHARASHTRA","MAHARASHTRA"
"SUKRULI","SUKRULI","ODISHA","ODISHA"
"TALAJA","TALAJA","GUJARAT","GUJARAT"
"TARIKERE","TARIKERE","KARNATAKA","KARNATAKA"
"DEOGHAR","DEOGHAR","JHARKHAND","JHARKHAND"
"TINDIVANAM","TINDIVANAM","TAMILNADU","TAMILNADU"
"MOGA","MOGA","PUNJAB","PUNJAB"
"SILIGURI","SILIGURI","WEST BENGAL","WEST BENGAL"
"MADARAJA GUDUR","MADARAJA GUDUR","ANDHRA PRADESH","ANDHRA PRADESH"
"PRANTIJ","PRANTIJ","GUJARAT","GUJARAT"
"DAUSA","DAUSA","RAJASTHAN","RAJASTHAN"
"BANGA","BANGA","PUNJAB","PUNJAB"
"GAURIBIDANUR","GAURIBIDANUR","KARNATAKA","KARNATAKA"
"MARELLA","MARELLA","ANDHRA PRADESH","ANDHRA PRADESH"
"UDANGUDI","UDANGUDI","TAMILNADU","TAMILNADU"
"WEST TRIPURA","WEST TRIPURA","TRIPURA","TRIPURA"
"DHEMAJI","DHEMAJI","ASSAM","ASSAM"
"LOWER SUBANSIRI","LOWER SUBANSIRI","ARUNACHAL PRADESH","ARUNACHAL PRADESH"
"RAMBAN","RAMBAN","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"BAGODAR","BAGODAR","JHARKHAND","JHARKHAND"
"KHUNTI","KHUNTI","JHARKHAND","JHARKHAND"
"MARAR","MARAR","JHARKHAND","JHARKHAND"
"BAILHONGAL","BAILHONGAL","KARNATAKA","KARNATAKA"
"BANAHATTI","BANAHATTI","KARNATAKA","KARNATAKA"
"CHIKMAGALUR","CHIKMAGALUR","KARNATAKA","KARNATAKA"
"HONNALI","HONNALI","KARNATAKA","KARNATAKA"
"KUKKUNDUR","KUKKUNDUR","KARNATAKA","KARNATAKA"
"MANIPAL","MANIPAL","KARNATAKA","KARNATAKA"
"NANDANGADDA","NANDANGADDA","KARNATAKA","KARNATAKA"
"RAMANAGARAM","RAMANAGARAM","KARNATAKA","KARNATAKA"
"SHETGERI","SHETGERI","KARNATAKA","KARNATAKA"
"UDUPI","UDUPI","KARNATAKA","KARNATAKA"
"CHENDAMANGALAM","CHENDAMANGALAM","KERALA","KERALA"
"IDUKKI","IDUKKI","KERALA","KERALA"
"KALLUMALA","KALLUMALA","KERALA","KERALA"
"MALAPPURAM","MALAPPURAM","KERALA","KERALA"
"NEMOM","NEMOM","KERALA","KERALA"
"PALAKKAD","PALAKKAD","KERALA","KERALA"
"PARAVOOR","PARAVOOR","KERALA","KERALA"
"PARUMALA","PARUMALA","KERALA","KERALA"
"PERINTHALMANNA","PERINTHALMANNA","KERALA","KERALA"
"WAYANAD","WAYANAD","KERALA","KERALA"
"BALWADA","BALWADA","MADHYA PRADESH","MADHYA PRADESH"
"BASODA","BASODA","MADHYA PRADESH","MADHYA PRADESH"
"DABRA","DABRA","MADHYA PRADESH","MADHYA PRADESH"
"VIDISHA","VIDISHA","MADHYA PRADESH","MADHYA PRADESH"
"AKOLA","AKOLA","MAHARASHTRA","MAHARASHTRA"
"AMBERNATH","AMBERNATH","MAHARASHTRA","MAHARASHTRA"
"BARSHI","BARSHI","MAHARASHTRA","MAHARASHTRA"
"BASSEIN","BASSEIN","MAHARASHTRA","MAHARASHTRA"
"GANGAKHED","GANGAKHED","MAHARASHTRA","MAHARASHTRA"
"JALGAON","JALGAON","MAHARASHTRA","MAHARASHTRA"
"NAGAON_MAH","NAGAON","MAHARASHTRA","MAHARASHTRA"
"PARANDA","PARANDA","MAHARASHTRA","MAHARASHTRA"
"PHONDAGHAT","PHONDAGHAT","MAHARASHTRA","MAHARASHTRA"
"SHIRPUR","SHIRPUR","MAHARASHTRA","MAHARASHTRA"
"BIHIYA","BIHIYA","BIHAR","BIHAR"
"GUDIYATTAM","GUDIYATTAM","TAMILNADU","TAMILNADU"
"DUMKA","DUMKA","JHARKHAND","JHARKHAND"
"MEDAK","MEDAK","TELANGANA","TELANGANA"
"PILIBANGA","PILIBANGA","RAJASTHAN","RAJASTHAN"
"SIRSI","SIRSI","KARNATAKA","KARNATAKA"
"AMABATTUR","AMABATTUR","TAMILNADU","TAMILNADU"
"KUNNUR","KUNNUR","KERALA","KERALA"
"CHANGLANG","CHANGLANG","ARUNACHAL PRADESH","ARUNACHAL PRADESH"
"SARANGARH","SARANGARH","CHHATTISGARH","CHHATTISGARH"
"NUZVID","NUZVID","ANDHRA PRADESH","ANDHRA PRADESH"
"HIMATNAGAR","HIMATNAGAR","GUJARAT","GUJARAT"
"CHINTAMANI","CHINTAMANI","KARNATAKA","KARNATAKA"
"DEOGARH","DEOGARH","ODISHA","ODISHA"
"CHHATARPUR CITY","CHHATARPUR CITY","MADHYA PRADESH","MADHYA PRADESH"
"NARAYANGAON","NARAYANGAON","MAHARASHTRA","MAHARASHTRA"
"DINHATA","DINHATA","WEST BENGAL","WEST BENGAL"
"KOMARAPALAYAM","KOMARAPALAYAM","TAMILNADU","TAMILNADU"
"KAWARDHA","KAWARDHA","CHHATTISGARH","CHHATTISGARH"
"BHADRACHALAM","BHADRACHALAM","TELANGANA","TELANGANA"
"JODA","JODA","ODISHA","ODISHA"
"KANKAVALI","KANKAVALI","MAHARASHTRA","MAHARASHTRA"
"PARVATHIPURAM","PARVATHIPURAM","ANDHRA PRADESH","ANDHRA PRADESH"
"JANGAREDDIGUDEM","JANGAREDDIGUDEM","ANDHRA PRADESH","ANDHRA PRADESH"
"UTTAR DINAJPUR","UTTAR DINAJPUR","WEST BENGAL","WEST BENGAL"
"VIKARABAD","VIKARABAD","TELANGANA","TELANGANA"
"TEKKALI","TEKKALI","ANDHRA PRADESH","ANDHRA PRADESH"
"MARKAPUR","MARKAPUR","ANDHRA PRADESH","ANDHRA PRADESH"
"SIRKALI","SIRKALI","TAMILNADU","TAMILNADU"
"ARIYALUR","ARIYALUR","TAMILNADU","TAMILNADU"
"TIRUCHENDUR","TIRUCHENDUR","TAMILNADU","TAMILNADU"
"ZIRA","ZIRA","PUNJAB","PUNJAB"
"ARNI","ARNI","TAMILNADU","TAMILNADU"
